### Observed exclusion limit for the squark model decaying via sleptons, from the ATLAS Run 1 summary paper
### https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2014-06/
### Data imported on 07.03.2021 from the tabulated values present in the package (which themselves originated, in principle, from Fig. 26 in the public page)
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
303.9, 275.3
309.8, 276.3
316.2, 278.8
322.0, 282.7
327.9, 289.1
334.2, 291.9
340.3, 294.8
346.3, 296.8
352.8, 297.9
358.5, 301.1
364.5, 301.8
370.6, 304.1
376.9, 304.4
382.9, 311.3
388.2, 314.7
394.5, 321.8
400.0, 330.2
405.7, 335.9
410.2, 341.4
416.3, 345.3
422.5, 349.7
428.0, 353.7
435.0, 357.6
440.6, 361.2
446.6, 366.5
452.2, 369.2
458.5, 372.2
464.7, 376.7
471.0, 380.3
477.2, 383.5
482.7, 386.8
488.9, 390.4
495.0, 394.0
501.0, 397.7
507.2, 401.1
513.4, 405.2
519.3, 408.5
525.3, 412.8
531.4, 416.1
537.5, 419.9
543.5, 424.2
549.7, 426.8
555.5, 429.7
561.8, 433.4
567.5, 437.2
573.8, 441.5
580.0, 444.7
585.9, 449.1
592.1, 452.2
598.1, 456.7
602.8, 461.3
609.0, 464.3
615.1, 467.7
621.3, 470.7
627.2, 473.5
633.2, 475.7
639.3, 476.4
645.4, 478.2
651.9, 476.7
657.5, 474.0
663.3, 471.4
667.2, 464.9
672.1, 458.2
675.6, 454.1
675.5, 446.2
677.2, 434.2
680.7, 425.6
685.3, 418.2
688.4, 408.9
690.1, 400.5
692.8, 393.0
695.0, 386.1
699.3, 378.5
703.3, 370.0
707.6, 362.3
712.0, 354.3
716.4, 346.2
720.7, 337.9
724.6, 329.7
728.0, 321.7
732.0, 314.5
736.9, 307.3
742.2, 300.2
747.1, 292.3
751.5, 284.9
754.9, 282.1
753.9, 273.7
755.5, 262.9
759.4, 255.8
763.8, 247.4
768.2, 239.5
772.6, 231.4
776.9, 226.2
783.0, 224.7
789.1, 225.7
795.1, 226.5
801.2, 228.8
807.3, 230.2
813.5, 226.6
818.3, 219.9
823.1, 211.9
826.8, 202.5
828.0, 194.5
830.9, 187.1
834.8, 179.9
838.7, 172.1
842.5, 164.1
845.8, 156.0
848.0, 147.3
850.8, 139.4
853.5, 131.4
855.7, 123.0
858.5, 114.6
860.2, 104.8
861.9, 96.4
863.2, 88.0
864.4, 79.6
867.2, 70.0
868.9, 61.0
869.8, 53.5
