### Observed exclusion limit for the squark model decaying in two steps (q -> qWZN1), from the ATLAS Run 1 summary paper
### https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2014-06/
### Data imported on 07.03.2021 from the tabulated values present in the package (which themselves originated, in principle, from Fig. 24 in the public page)
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
447.2, 95
443.0, 105.6
439.9, 108.6
436.3, 108.4
435.3, 113.4
431.9, 119.3
428.9, 121.9
425.2, 126.2
421.7, 124.8
421.3, 131.1
417.9, 132.8
416.5, 140.0
413.1, 143.9
409.7, 145.2
405.9, 147.5
402.4, 149.1
398.7, 146.1
395.3, 149.6
391.8, 147.6
388.4, 152.7
387.3, 163.9
390.8, 170.4
394.3, 172.2
397.9, 173.8
401.4, 175.0
404.9, 176.7
408.5, 179.0
412.0, 181.9
415.7, 185.6
419.0, 190.4
420.3, 201.9
422.0, 203.1
418.3, 210.0
416.3, 219.3
413.8, 224.0
417.4, 231.5
420.9, 236.3
424.0, 242.5
428.0, 245.4
431.0, 248.8
434.9, 252.3
438.2, 256.0
441.8, 259.7
445.6, 264.0
448.8, 267.5
452.6, 269.2
455.8, 271.4
459.7, 274.8
463.1, 277.1
466.3, 280.5
470.1, 283.5
473.7, 286.0
477.2, 288.6
480.6, 289.7
484.2, 292.2
487.8, 294.6
491.3, 295.7
494.9, 295.4
498.4, 295.3
501.9, 294.6
505.5, 292.9
509.0, 293.0
512.5, 295.5
516.1, 298.3
519.6, 300.5
523.2, 302.4
527.0, 304.1
530.2, 306.3
534.1, 307.4
537.1, 309.5
540.8, 311.8
544.4, 311.9
547.9, 313.1
551.4, 312.7
555.0, 315.2
558.5, 313.6
562.0, 316.3
565.6, 315.4
569.1, 317.7
572.6, 319.0
576.2, 319.2
579.7, 317.9
583.2, 313.8
586.8, 308.8
588.0, 301.9
590.1, 301.5
589.1, 287.0
589.9, 273.5
591.8, 261.4
594.9, 255.5
598.0, 250.8
601.8, 245.9
604.1, 244.0
606.0, 237.6
609.3, 234.7
613.0, 231.7
613.5, 227.1
616.8, 224.9
616.8, 216.5
615.5, 211.2
613.7, 197.8
610.9, 187.3
613.4, 186.3
612.9, 175.2
615.8, 167.6
619.5, 163.1
623.1, 161.0
626.4, 155.7
630.6, 148.4
628.3, 146.9
628.5, 139.2
625.6, 132.9
626.3, 125.5
629.5, 123.8
631.1, 116.0
634.0, 113.9
634.0, 95
